text,class
" this strap is thinner than those used in yoga classes. it is sharp on the arch when held there for poses. i would not purchase another one. ",negative
" within two hours of recieving my complaint the seller refunded my money without requriing that i ship the product back. for that i am thankful and appreciative and can recommend the seller. i have no idea what was up with the product. as i noted earlier i just recieved this product and it has the overwhelming smell of petroleum literally like the smell that comes from an oil truck delivering fuel oil to your home. i bought this for a child and would never dream of giving it to them. i am contacting the seller to request a refund. if i succeed i will note that in the review and increase the star rating ",negative
" cute shoes but extremely uncomfortable. i am not sure that i will get much wear out of these shoes. i know my size but i starting to think they sent me the wrong pair. i am so frustrated with amazon where shoes are concerned. this is the 3rd pair of shoes i have bought that does not give me a good fit. i suggest that you buy a 1/2 size larger than you normally wear but you will then probably run the risk of the shoe later becoming too big it's a catch 22 ",negative
" i was impressed by the look of this bag. it really looked like it would seal the contents well. unfortunately it did not. i tried several times and each time the contents of the bag were soaked! fortunately i tested it out with just some cash for a day at the pool... and only ended up with soggy money. if i had put my cell phone and watch in the bag they would have been ruined. i don't recommend it ",negative
" these gloves should really be called simulation leather. they are warm and comfortable but the outer layer is some kind of thin black plastic that looks like leather. i wouldnt feel comfortable riding a motorcycle with these if you hit the pavent with them they'd probably just vaporize. ",negative
" i got these for my son before he arrived in the 0-3 mos size (blue). they weren't even blue they were purple. and they were so big they fit my 14 mo old but the arms were too short for her to wear them either! what a waste of money ",negative
" i was astonished at how flimsy the poncho turned out to be. i mean at almost $25 invested included shipping i was expecting better quality. well it's very thin made in china and has plastic snaps. the so-called polyester lining just adds to the heat that's generated. i've owned many ponchos through the years and the first thing you learn is that a poncho is a terrible design to keep out the elements for more than a short period. the reason involves the way it's cut. what i've learned is that you should buy something with some weight to the fabric so that the wind doesn't lift it up or out and allow the elements inside. next you become hot and start sweating profusely in short time. so a good lining or a breathable system is required. if you're just going to use it for short bursts in the rain then you can get a cheap $10 nylon or plastic poncho almost anywhere. however if you camp a lot or will be out in the elements you need better. the best poncho i ever owned had a rubberized outer layer and a thin cotton liner. this solves both of the problems i mentioned because it had the weight to stay down and had the lining to help evaporate the sweat ",negative
" i wish there were 0 star. although these sandals are very beautiful but never ever even try to buy them. after searching a lot for buying a present for my sister's birthday i found this sandal and i decided to buy. i ordered it on march 9th and after 20 days !! still i haven't received them !!!!!! i am getting my money back. not only i have wasted my time but also i should rush to find something as a present which is by the way toooooooooooooo late!!!! conclusion: these sandals are very beautiful but never fall for them. ",negative
" i actually sent this bag back immediatley after opening! i knew it was going to be plastic which was fine with me. i could use it in the summer at the beach or by the pool. but the description said it was trimmed in geniune pig skin leather. when i recieved the bag there was no leather to be found on the bag. the trim was some type of weird plastic aswell. it was the cheapest and most fake looking bag i have ever seen! i couldn't believe that amazon was selling this product for $200! i love amazon and everything they have to offer! they really shouldn't put there name behind this product anymore. any faithful amazon custom would be shocked and appauled to recieve this on there front step! i know i was!!! ",negative
" i don't recommend you make purchases here. i spent $61 on these items and have only recieved two. there has been no explanation as to what happened to the rest of my order or my money. patiently i've waited for over a month for my items to arrive and nothing ",negative
" not as expected too short nothing special for the price - took forever to receive ( about 3 weeks ",negative
" i still got a pantyline with this---strange and frustrating---- : ",negative
" on the advertisement these sandals were shown in green. if they were available in green i would be interested. please advise. thank ",negative
" poor product. no strap comes with this case. too difficult to get the ipod out for updates whilst trying to pull out ipod can be dropped. front view cover is smeary and scratched. buttons are difficult to re-snap. no need for other voting on this --just a poor product ",negative
" the fanny pack looks nice but the belt did not adjust to be small enough for my hips. i am a 5'6 120 lb. small boned female. the company offered to exchange it however did not offer any others with cell phone holder. now i will have to pay return shipping plus 4.95 restocking fee to return this item. i did not see the information to learn of this fee before my purchase and am not happy to learn it now ",negative
" this is a classic style work boot which used to be a lot more common than now even appearing in one episode of leave it to beaver in the late '50s and on the cover of one of simon and garfunkles albums of the late '60s. i've owned several pair of similar boots by other makers including red wing. some comments which apply to this style in general (and not just wolverines): pros - the wedge sole absorbs a lot of shock making them great for standing/working on concrete or walking long distances on hard surfaces. also the non-agressive tread means that dirt and grass doesn't track into the house after doing chores outside. the moc toe tends to breath through the seams so feet tend to stay cooler and drier in hot dry conditions. a great boot for the desert and apparantly highly esteemed by many construction workers. cons - the wedge sole doesn't offer much traction for serious hiking on steep loose surfaces (which i've used them for but for which they really weren't intended). gravel will roll right out from under them. none of the several brands i have owned were water-resistant at all. walking through wet grass will lead to wet socks very quickly as the seams around the toe which allow air and perspiration to escape also allow outside moisture to enter just as easily. we used to say your feet get wet two days before it rains. so perhaps not the best choice for hiking in the pacific northwest. specifically the wolverines were extemely comfortable right out of the box. they have a better insole than any of my previous boots of this style a removeable polyurethane contoured cushion which provides good arch support. the color was actually more of a brown clay rather than what i would call tan. the quality of workmanship appeared to be pretty good actually better looking stitching than my red wings. however i was disappointed in the variable nature of the leather. the leather in most of the boot appeared to be adequately thick however the leather used in the shaft around the ankles was thinner than i have ever seen in any work boot thinner even than in many suede sneakers. while my ankles were covered they didn't feel at all supported or protected. after considering for a couple of days i decided to return the boots to the merchant who provided them for amazon the sportsmans guide. they had provided a return shipping label in the box so i taped the box closed applied the label and took it to the post office. i received an email a few days later acknowledging their receipt of the package and a notice of a credit applied to my account. so while i'm not very excited about the particular pair of boots which i received i do give good marks to sportsmans guide for a quick and relatively painless return. i ended up purchasing the georgia spr 6 farm and ranch boot with wedge sole also available through amazon. for further details please see my review ",negative
" i was mislead by the advertisement. the shorts are skin thin and don't have pockets in them. quality it is ok for what they really are ... pijama shorts. maybe it is my problem 'cause i am not a native english language speaker maybe not ",negative
" the plastic screen on this case was very hard to keep clean and very easy to scratch so the view quality was horrible. also the case was way to tight and was difficult to get the 30gb video ipod in and out ",negative
" i had to send this item back twice and still havenot recieved the correct product never order anything from best price center the owner denied being the correct contact after i spoke with him multiple times at the same number. ",negative
" i purchased these ear buds to replace those that came with my 80gb ipod expecting them to at least be comfortable. i can't judge if they are more comfortable or not because they won't stay in my ears long enough to decide. even when i'm sitting still on the sofa they fall out...none of the sizes work for me!!! if falling out of my ear isn't bad enough the sound is not even half as good as that produced by the stock ear buds. very disappointed! ",negative
" i purchased this to replace my husband's favorite keyfob from american eagle which was almost identical (and lasted ten years incidentally). this one fell apart after two months. time for a trip to the local leathersmith.. ",negative
" these gloves are very soft and seem to be made well but they have a big flaw: the fingers are too short. ordering up a size may not solve any fit problems ",negative
" these slippers are typical of daniel green products beautiful comfortable and affordable. thank ",negative
" hole in pocket not completly sewn. charcol heather shrank 2 sizes. blue shirt pocket was placed almost under the sleeve ",negative
" we could not use these shoes. the tongues on these shoes are too short and we had to force them on. they were even a 1/2 size larger than our grandson wore. it was a big disappointment and waste of money. save your receit ",negative
" i bought this pair of shoes because the look really good but the shoe doesnot run true to size i bought an 11.5m and had to return it because my instep could not enter the shoe. be very caefull when buying i suggest buying half a 1 size bigger than your average size ",negative
" the scarves were good quality but i should have paid more attention to previous reviewers on this gift. the pack had about 5 or 6 black scarves and a couple other colors nothing like the picture. save your dough on these scarves ",negative
" i never received this order and they have not responded to emails regarding order status. this left me without gifts for co workers over the holidays ...i am out the money ",negative
" extremely dissapointed in the colors i received. out of 10 6 were black 3 red (2 shades) 1 pink. i could deal with 6 blacks and 4 different (and i mean different - not all red-toned) colors but not with what i got. useless. i'm upset beyond words. will never buy from this seller again and will not recommend to anyone i know unless the seller comes through and fixes this ",negative
" i couldn't believe it!! my son opened the box of shoes to find the shoes came with no laces!! he was so upset that he wasn't able to wear them right away because it was dec. 24 everything was already closed and nothing would be open until dec. 26 and why should we have to pay for shoe laces??? i'm glad you sent me the e mail because i'd like to send the shoes back!! we were able to find a brand new pair (with laces) at a better price. ",negative
" i had been looking for fingerless gloves to wear while i type-- they keep the office i work at at very cold temperatures. these gloves seeemed perfect--because many fingerless gloves- don't have fingerless thumbs--but these gloves do. the cost was only 2.99 for a pair of black or navy gloves. i ordered the black pair. well the knit gloves began to fray on the first wearing- there are many stray strands at the fingers-- they snag easily. they are warm and i would love them if they did not snag and fray so easily. but i did only pay 2.99 for them so i guess it's a case of you get what you pay for. ",negative
" ..all over the neighbourhood. now we're getting divorced and it's all your fault male power sheer bong thong! i hate you ",negative
" really uncomfortable. i wore them twice and then threw them out. they sagged like a sad pair of tights you used to wear when you were little. and they became transparent like they were going to rip at any moment. not worth the $5 i paid ",negative
" this review isn't really about the flip-flops because theyre great. why would you buy them here for $5.61 when you can get them at the store for $2.50 each? ",negative
" i ordered these white tank tops and 3 colored tank tops. i have never received these white tank tops and have requested a refund and requested another size they had in stock and have received neither. i have sent emails requesting this and still no resolve ",negative
" i bought this dress for a trip i'm taking in one week. should've known better. you get what you pay for that's for sure. this dress arrived balled up in a usps bag. it didn't look anything like the picture shown on this site more like a slip than a slip dress. and here's the kicker - it was ripped! had two large snags on the back of the dress. i'm sending it back and they better not try to charge me shipping. i'm po'd to the max and who knows if i'll find a dress in time. grrrr ",negative
" i bought 2 sleepers. sleeper had holes in the arm pit area and the other sleeper had a whole where the neck trim should of been sewed on. a real waste of my money ",negative
" these shoes are cute but 1) they are made wide 2) the heel is a little bigger than 2 3) they are uncomfortable to walk in. i think i could find a better pair at wal-mart if i had to. the company charged me tax on their shipping charges so they get a big two thumbs down for that ",negative
" i had to return this item because the shoes where too big but other than that everything else was ok with the products i received ",negative
" these boots were the worst ever! they were grossly missized and not as depicted. the back of the boot had a tape with embroidery up it that was mysteriously not pictured when ordering. when returned the company refused to reimburse shipping even though they acknowledged that this was deceiving. never again ",negative
" these gloves are a little itchy - the profile states that they are fully lined however the insulation does not extend to the finger openings so you have wool around each finger...some people don't mind the feeling-- personally it drives me nutty. it's a present however so we'll see how he feels about the material. my main gripe however is that the stitchiing is incredibly poor. right out of the package the velcro stiching is coming loose and the velcro is starting to pull up. the black stiching connecting the leather pads to the glove part is laughable. it's an overstich and most of them look like they'll start to loosen at anytime causing the leather pad to come off. there are different colored threads poking out through seams as well. they do look nice from afar and seem warm (i only tried them on quickly) but for the price...yikes ",negative
" shipping was quick. the shoes are comfortable and stay clean longer. when soiled they clean up well. some wide widths are good but these give just a little more room than most. the little extra width was more than welcome when on a recent trip i was doing alot of walking & the feet were really swollen. i am pleased with the shoes so far. ",negative
" i never receive this item i want may money back or replace my order ",negative
" the sleeves are long and the shirt is short. i dont know about others but that is not how i like my clothes.... wont look to good with low rise jeans! at least not with my average body. i dont weight 95 pounds ",negative
" these boots are very cute and comfortable. however they are not leather as stated in the description. they are clearly labeled all manmade materials on the inside of the boot. since they are now marked down so low they are a good deal but the price i paid is not worth it for non-leather boots ",negative
" this order was most unsatisfactory. i received the shoes with the security device attached. i had to take the time and trouble to send them back to have the devices detached. i have yet to receive them. i would advise customers to avoid orders ",negative
" i purchased what i thought were deals from 2 seperate vendors and was very disappointed. to get a pair of decent fitting sweats you have to pay the price and you won't regret it. i hope this advice helps ",negative
" and no customer service on weekends at even before xmas ",negative
" i bought a pair of these calvin klein hip briefs at a local retail store last year. i found this pair of underwear to be very tight and uncomfortable. i'm large up front and i found the crotch area to be quite small and thin. the pouch is also to small. i am a briefs man myself but these are not as comfortable as most briefs. i can say though these briefs are good for wearing under low rise jeans. i would rather wear the calvin klein trunks or a pair of boxerbriefs instead of the hip briefs. the trunks are more comfortable for well endowed guys like me. if i had to choose only between these underwears or none at all i would rather not wear any underwear at all ",negative
" i loved this bra when i first got it a year ago. it gave me great support it looked great and i was the happiest with a bra that i have ever been. my girls are in the f range so it has been difficult to find the right size. a year later the girls are headed south and the bra has no support left in it. i am really disappointed in the quality after paying almost $70 for one bra. they are on a great product if it could stand the longevity of time. one year just doesn't work for me. ",negative
" i absolutely loved this bra when i first put it on but after only a couple of washings the metal underwire broke through the fabric and started poking at my underarm. i thought it was just a rare occurence but i bought a couple more of these bras and the same thing happened everytime. they cost way too much money to only get two or three wears out of them. i am so disappointed in the quality of the underwire ",negative
" i had got these for my husband for christmas. nice material however they were too tapered at the ankle and also short for him and he is average height so we had to return it ",negative
" this bra works okay but the material is really uncomortable. the lace cups isn't feel like flour sack material. ",negative
" this is a disgraceful garment. i am not kidding when i say that the sweater is less than 1 mm thick. the best description that i could give you is tracing paper. it is virtually see-through. when i put it on for the first time all of the tags ripped off as it is poorly constructed. there is also an obnoxious z on the left chest area. very tacky. this will be in the very back of my closet until i get around to donating it or throwing it away. miserable miserable purchase. ",negative
" they are warm and comfortable while they last. all of the sheep skin inside has fallen out there is a hole where my big toe is inside the slipper. the outside of the slipper still looks like new. it is sort of depressing they only lasted 3-4 months ",negative
" i bought these based on a previous review. after wearing them for 3 days the stitching on one came apart. maybe the quality control person was out that day??? i returned them and got a full refund ",negative
" not happy at all with these slippers. do not buy them. they lasted 3-4 week and then he inside was shot. ",negative
" these slippers are without a doubt the most uncomfortable things i've ever put my feet into. the concept is good but the shearling lining is so thick that you would definately want to order the next size larger. that might solve the length discomfort but there still isn't sufficient heighth comfort. they felt like an all encompassing vise squeezing my feet so tightly that i had to remove them to gain relief. very uncomfortable. ",negative
" those are a good shoes but the delivery provide service is the worst i buy the shoes dic 15-06 in expedite service 1-3 days and i recive the shoes 21 4 days more than usually delivery day i pay 12 more dollars for expedite and theirs give it to me like regular mail bad deal to me ",negative
" i bought these at target for my sons. my six year old wore his two months until they fell apart. not too long in my opinion. ",negative
" very cute but have a funky balance wobly and on the verge of falling over. not comftorable. poorly designe ",negative
" really cute boots but the back zipper made my heels feel as if they weren't supported and about to slide out. the 4 heels force your feet into a near ballerina toe pose and i had to take these off after half a day. my next step is to try some insoles for them and maybe that will help ",negative
" i had this bag on my wishlist and got it for christmas. i wanted it for when i take daytrips to the beach. i am really disappointed with the size. it's pretty deep but not very wide at all. no way i'll be able to take everything i need to the beach in this bag. still i'll be able to use it for other things ",negative
" i had got these for my husband for christmas. nice material however they were too tapered at the ankle and also short for him and he is average height so we had to return it ",negative
" these pants were washed one time following the washing instructions they were not put in the dryer and they shrunk not only around but lengthwise. i had purchased these same pants a year or so ago and didn't have any problems. i look forward to your reply ",negative
" the colors of bandannas i ordered were not the colors i received. the invoice sent with the bandannas did not confirm the colors i ordered so i did not have proff that several errors were made but i know what i ordered. i was concerned after placing the order because the colors were not stated on the checkout page but since i had ordered them before i thought there would not be a problem ",negative
" i ordered 16 bandanas at the last minute for my dance team's competition but i only received 12 in the mail. the packing slip said 16 and i was charged for the 16. it was too late for me to order more and the color was too rare for me to find in the stores. would have given only 1 star but at least they sent it to me on time. ",negative
" i purchased the dopp money clip and card holder for a specific vacation cruise. it is nicely constructed but two negatives were exposed: one it will only hold about six bills and two it demagnetized my room key card twice over eight days. realizing this could also demagnetize my regular credit cards i removed them from the card holder. i am reluctant to use the money clip again. ",negative
" even though i favor leather every once in a while a pleather product comes along that i really appreciate. well these boots sadly are not in that category. the pleather started cracking after i wore the boots x3; the lining was poorly cut to begin with and started unraveling. the sad part is that for the amount of money that i spend on these boots i could have bought a pair of leather ones after x-mas ",negative
" i am solidly a size medium but i was swimming in this jacket. i think it is more of an xl. i'd say the medium is for someone 5'10 and 250lbs ",negative
" there was no picture of this selection so i guessed it was a ringer type t-shirt. instead it was a white shirt with ugly red contrast stitching. i never wore it but gave it to goodwill ",negative
" i ordered this dress on march 6th. i recevied an email from the company saying that it would ship by march 8th. on march 16th i receive an email saying that they are out the size i wanted and my order has been canceled. this is unacceptable from a business. i should have been notified by march 9th that the dress had not been shipped. i have less than 24 hours to find a replacement dress. thanks alot ",negative
" i was very dissappointed by this item. it arrived folded into a 6x6 square bag and was very creased when opened. it will take considerable pressing to try and get it out. the fabric is too stiff and doesn't drap well. the length isn't long enough to drape over your shoulders and wear as a wrap. the return policy makes this purchase not worth the risk ",negative
" very nice prints but the quality of the briefs is not good. to top it one of the briefs was even damaged. i guess the maker doesn't have a quality control department. overall a bad buy. ",negative
" beware the size is not true size fit my small turn out to be something that fits like a large from some other brands. this is not a small it's loose fitting and it's a straight line cut. it's really bad.it's so disappointing. everything doesnt holds in places it doesnt look like the photo at all. the materials is nice but the fittting is beyond horrid. dont buy this dress unless you are really curvy and if you are a medium you need a small for this dress and it will still fit loosly on you. that's how big of a dress this is. i'm returning it ",negative
" size 9.5 fit like it was an 8. i wear a 9 typically and could barely get my foot in and was unable to walk in them at all without pain. i've bought steve madden before many times and know they run slightly small but this pair was ridiculously small and i suspect perhaps mis-labeled ",negative
" i only gave the shoes 2 stars because they are cute. other than that they were quite unusable. i usually wear a size 7 but i could not even get my foot into these shoes...and they are quite hard. had to get rid of them ",negative
" i acutally saw this shoe on a young lady who matched them so well with her outfit. i even complimented her on them. i liked so much how they looked on her that i took the time to locate them online (amazon). i ordered them with much anticipation that i would also look cute in them. needless to say looks are deceiving. perhaps they felt better on her than they did on me but i felt like i was squeezing my feet into a pair of hard plastic. i was disappointed. if there's nothing i've learned being a woman in her mid-30s i come to realize that there's nothing like a cute but comfortable pair of shoes.. ",negative
" these shoes are not as cute as they appear the heel is really 2.5 the material is cheap the fit is too wide the shoes are uncomfortable to walk in etc. etc. etc. on a positive note it's the type of shoes that can be worn with a pair of jeans or a cocktail dress. be warned the company claims that all their shoes have 2 heels when they don't and they charge tax on shipping charges.. ",negative
" the footbed on these clogs is very comfortable but buyer beware - the buckles are attached with staples through the suede and come undone very easily (in my case after two wearings) the seller's return policy is such that once the shoes have been worn outside they won't take them back. i had to sew the buckles back on. in my opinion $100 shoes shouldn't need to be repaired after two wearings. the suede is also much darker than the picture - still a pleasant color but not what i expected when i ordered ",negative
" my daughter bought these herself because she couldn't afford the real birky's. she bought them in august 2006 now november 18 2006 the soles are worn out and the buckle just broke yeaterday. wasted pair of shoes. anyone have any ideas for good affordable shoes similar to birkys?? pat- mother of msu college freshman ",negative
" this bag is much smaller then i was expecting. the zippers do not open/shut easily. i was very disapointed ",negative
" i have purchased ak in the past but this is the first time i was disappointed. the shoe felt cheap to me and not very sturdy. i would not recommend this shoe to anyone ",negative
" the cap is nice and presumably does what it is suppose to do by keeping my hair out of my face. however the stitching at the seam at the back of the cap began coming apart from the day that i first used it. it hasnt torn completely...yet. nevertheless i would think that putting a skull cap on once with my short hair would cause a tear so sooon. i wouldnt suggest this produc ",negative
" wow the headband on this skull cap is cutting off my circulation! it is way too tight for casual wear. also the fabric on top is almost as thin as panty-hose and your hair will poke through if you have a buzz-cut like me. if you're not an athlete then don't buy this skull cap. it's meant primarily for bald football players to wear under their helmets ",negative
" i ordered 4 of them because they were on sale. but all of them are at least 2 size bigger than they should be. in addition the fabric is bad. there are tores in all of the edges ",negative
" this is a nicly styled jersey that could use a fabric or fabric finish makeover. the plain polyester is rough to the skin requiring the use of an undershirt to prevent chafing. the collar is cut high enough to cut across the base of the neck leaving a nasty burn mark. a cotton cotton blend or silk would have made a better choice of fabric making this an unbeatable jersey for many uses ",negative
" this bra has an akward fit. i had to return it. a better bra for low cut clothes would be the clear strap bra from victoria's secret ",negative
" i bought these shoes and wore them to my first fitting. by the end of my fitting my feet were throbbing red and pinched. literally my pinky toe was purple. i bought my true size but i still don't think these shoes would've been wearable even with a size larger. they must just be really narrow ",negative
" the advertising of this product on your site is kind of deceiving because it doesn't properly show it. from what i saw on the amazon site i thought the wallet will be much bigger. amazon doesn't give measurements of the product and there are not enough pictures of the it. basicly it isn't worth it to buy a product if i'm not sure of how it looks like. now i have a wallet that my husband does not want and i can do nothing with it. i feel that i wasted $25.00 ",negative
" cute designs but they shrink. i have to stretch the sheet back out after washing it and when i attempt to put it on the mattress it flips up. ",negative
" i am a 44dd i am having the hardest time finding a good bra...i ordered this one and i am a little dissapointed. the underwires in the front poke out and make it look like i have these bones sticking straight out of my chest. everthing else is ok...no complaints other than the underwire not laying flush with my chest bone ",negative
" ordered gray they shipped black. since it is from canada i'm not even going to waste return shipping charges. minor inconvenience yet still folks i ordered gray! pants are also not new the tags are ripped and torn it looks like return or wholesale merchandise. i feel cheated angry but mostly just disappointed. for shame people for....shame.... ",negative
" need to use a belt definitively. does not look like the picture. if you do not use a belt you will seem like wearing a pijama instead of a top. ",negative
" the color is very pale and not very much not as vivid as the picture. also from the picture you think that it is high quality and fine threaded but the threads are large and not so apealing as the picture shows. good customer support though i couldn't return it because of being a gift ",negative
" these shoes are very comfortable look great but i had a terrible problem with the ruggedness of these shoes. i am an avid hiker and climber and bought these shoes for the reasons that merrill is known for ruggedness and great outdoor shoes. after only owning these shoes for a month i noticed that the leather sides were cracking away from the sole. this happened on both pairs of shoes and soon there was 2 holes in each pair. the insides ripped from slipping them on and off. i returned the pair to the store i bought them at and got a new pair. the same problem happened. these shoes are very cheap and very expensive. do not buy! they look great but unless you are planning on displaying them only i would stay away from them ",negative
" this boot looked so much better online. for this boot to be by nine west it looked very cheap. i was very disappointed with this product that i returned it but i'm still waiting for my refund!! ",negative
" these boots look good on the first wear. i bought the black patent boots and after one not so wild night they scuffed and had sveral little tears in the material. if you need boots for one night for that perfect outfit these will suffice. ",negative
" the elastic in these shoes makes them too uncomfortable to wear. otherwise the quality of the lace shoes is good. i'd wear them if the elastic didn't dig into my foot (i have small feet too!) ",negative
" poor design and fit such that after 4-5 wears the front of both shoes wore out - into a hole. not recommended ",negative
" i love the colts but this sweatshirt is supposed to be a large it is the wierdest fitting sweatshirt i have efer seen. the shoulders are to big and the neck is to tight. i wear a large but i cant wear this shirt because it looks so awkward ",negative
" the sweater i received was extremely thin: i had expected something more like an ll bean cardigan which i dearly love. i was wrong. what do i do now? roger hampton (503)293-5655 ov10abronco@juno.com ",negative
" after six months of little use the inside heal fell apart on both shoes. the fabric is made poorly and will cause blisters on your heal once it quickly deteriorates. do not buy this shoe ",negative
" the stockings were not in the package and there is no good way to get in touch with the company that sold me outfit in the first place. my girlfriend was disappointed and i felt like a fool when no one even took the time to return my call. i will not do business with this company again ",negative
" this product worked well in holding up a strapless bra but after a few hours my skin developed a blister underneath the tape. i would rather risk the wardrobe malfunction than have any more blisters so use this product with caution ",negative
" horrible. must go through hell to return it too they won't give you back the shipping to send it to you just the cost of the item. do not buy. do not recommend ",negative
" i had a good experience with 80s purple last year so when i needed prop glasses i knew where to look. i got my order the glasses were scratched and the frames were damaged. i called and they said they would send me a replacement right away i was quite pleased. it has been over 3 weeks and i have not received them i have called and emailed them several times with no response. not even picking up the phone. i plan on contesting the charges on my card and will not be shopping here any mor ",negative
" order placed by 7th of july didn't arrived by now. no sunglasses... no money... no response from the seller... the most awfull seller i have ever co-operated with.... i wish i would not ordered this nice glasses from this dishonourable seller.... think twice before placing an order & paying money.. ",negative
" this is saled as a baseball shoes but it is for american footbal. but the mistake goes more long because the photo included shows a baseball shoes how you can observ in the marks of the sole ",negative
" i could not believe the quality in these shoes...horrible! the material feels and sounds like cardboard or paper. they have an awful smell and are uncomfortable. i bought chinese shoes in china town for $2 they were wonderfully comfortable still smelled funny but they were awesome.these are not! ",negative
" it is a horrible item. if i could have given this hairagami a no star rating i would have and to think i wasted almost $20 for this junk. it snaps unexpectedly all the time and always while you are twirling the hair. it totally tangles the hair. it is a nightmare to get out of your child's hair. my oldest 12 really wanted this hairagami and was totally disappointed. she told all her friends not to buy it ",negative
" material extremely thin and almost transparent when it is held up to light. it's very dissappointing for an izod product. i would have returned it had i not bought it for my 82 year old father whom discarded the packaging ",negative
" the pants are not juniors' they are women's pants that go up past your waistline when you wear them ",negative
" how lame... 30 days later no shipment no delivery. very disgusted. information about shipment ship method: usps tracking number: 910 status: in transit order #: 103 shipment date: jul 17 2005 destination: west hollywood ca united states estimated arrival: jul 26 2005 date time location service area checkpoint details jul 19 2005 --- us carrier notified to pick up package jul 17 2005 05:19:00 pm hebron ky us arrival scan ",negative
" i realize this isn't an expensive bra but i expected it to at least fit! i've never ordered a bra that was sized this crazy! the band was way too big and the cups were way too small. needless to say i'm returning it. save your money ladies! on top of that it took almost a month to receive it because it was out of stock. even though figleaves displayed the item as in stock. this is the third time figleaves has done this for amazon items. i think i'll skip buying from them in the future ",negative
" the mask is way too tight either that or i just have an abnormally big head which i don't think i do. it should be adjustable and it's not. would not recommend this ",negative
" the battery function didn't work. discovered poor battery wiring inside... i might try troubleshooting it myself with an ammeter and some soldering. i'm not surprised by the crude construction from a $11 item. however the hand grips themselves are worth the money. no more cramped hands ",negative
" we received this product in a clear plastic molded container however there were no instructions at all nor was there any label. we immediately thought this must not be a new product. not knowing exactly how to attach it to the psp or detach it one of the clips has broken. we also have more questions - can the battery inside this charger be replaced? if so what kind is it? i think we'll be returning this product ",negative
" when i got ordered these shoes i was so excited because the picture looked so nice. do not be deceived by its looks. i saw it in another store and i tried it on for fun. the shoe fits poorly and its actually really ugly. i would definitely not reccomend it to any one ",negative
" i bought this for the flashlight feature. you have to press and hold the button in a clumsy way in order to keep the green flashlight on. also the only way to have the clock light up is if you have the alarm on. the buttons on the front are cheap and don't seem like they'll last very long ",negative
" you have to wear a thick pair of socks in order for the slipper socks to fit properly. they only fit properly for one wearing stretch all out of shape until you wash and dry. i have fleece socks from llbean which are wonderful and thought i would try these. you get what you pay for applies to this product ",negative
" these socks were thin large and horrible. they had no elastic in them to keep them up and they fell down frequently. absolutely worthless ",negative
" i received the smart tool dynamo instead of the illuminator. very disappointed because i ordered 5 for xmas gifts and do not have enough time to reorder. ",negative
" illuminator is shown in ad but a generic brand was shipped to me. the light wasn't as bright and it wasn't made very well.the crank was cheaply made and the button that you press didn't work every time. ",negative
" i was very surpised at the poor quality of these stockings. i have purchased leg avenue before and found them to be excellent however these were like fifty cent bought off the back of someone's truck brand. as a matter of fact i've bought better fifty cent off the back of the truck stockings!leg avenue is now off my list! of course if they priced them three for a dollarnow that might be worth the price ",negative
" this product was disappointing. not at all what was expected and sizing was way way different than expected. i guess they will make a nice gift for my 12 year old niece since that is the type of body that a womens large will fit ",negative
" i wore these once and got a huge hole in the toe. should not happen at nearly $6 a pair and a logo of gold toe ",negative
" these socks are advertised as seamless toe socks. they are very thin and they do have a very uncomfortable seam in the toe. not only does the seam press into the toe but you can feel the inner seam of the shoe itself. terrible product ",negative
" i was very disappointed with this bra. i would definately not recommend it. if you are looking for a good and supportive nursing bra try the maternelle bra instead. this bra looks sexy but does not offer the support and coverage needed for a nursing bra (at least not for a size 38dd) ",negative
" this listing isen't correct. item nts1 is a nylon tank top shirt not a t-shirt ",negative
" i bought this bra because the ad says 100% cotton. there is no cotton in this bra. it is 86% nylon and 14% elastane. if you want a cotton bra this is not for you ",negative
" although the description of these booties says they run true to size they do not! i ordered a full size and a half larger than my daughter's regular shoe size and they were still too small for her to put on her feet. now i have to pay more shipping for an exchange. not a great transaction experience ",negative
" this bag was not what i expected. the leather was cheap and it wasn't really big enough to fit much. i would not recommend this bag if you want it to hold a lot of items/paper. ",negative
" i have the same jacket in black but i bought this from elsewhere. what a rip off it is. it is made in china and the feather keeps on coming and on a given day i had to remove atleast 20- 25 of the feathers since they peek so much. i doubt how long this is going to last as eventually it will be a skinny jacket without the feathers.!!! do not buy ",negative
" this jacket is extremely poorly made. i have it in black but i should say black and white because there is so much white from the feathers peeking through ",negative
" when i purchased this i was under the false impression that the idea of a silicon skin was to provide the unit with some shock protection in the event that it were to get dropped. the skin is so thin that it does nothing but keep a little bit of dust off of the buttons. the belt clip is made of brittle plastic and broke the second day that i used it. don't waste your money spend the extra bucks to get something that will last a while. ",negative
" when you buy natori you expect the best. but this product just isn't up to their usual high standard. most disappointing is the elastic used at the leg and waist openings. for 20 dollars they should be awesome. they aren't. my favorite panty right now is a nordstrom brand boy short that is really comfortable and costs about 10 bucks. i haven't seen them online but this is worth a trip to the store ",negative
" i have found gerber brand clothing to be disappointing. the don't stand up to laundering very well in that they shrink quite a bit. they already seem small for the size on the label but it gets worse after you wash and dry them (even on the delicate cycle). my 6-week old was already wearing onesies and sleepers sized 3-6 months! it's worth spending the extra money for a better brand such as carter's ",negative
